#group,false,false,true,true,false,false,true,true,true,true,true,true
#datatype,string,long,dateTime:RFC3339,dateTime:RFC3339,dateTime:RFC3339,double,string,string,string,string,string,string
#default,_result,,,,,,,,,,,
,result,table,_start,_stop,_time,_value,_field,_measurement,event,msg,target,venue
#datatype,string,long,dateTime:RFC3339,dateTime:RFC3339,dateTime:RFC3339,double,string,string,string,string,string,string
#default,_result,,,,,,,,,,,
,result,table,_start,_stop,_time,_value,_field,_measurement,event,msg,target,venue
,,84,2026-05-28T11:04:42.571134459Z,2026-05-28T11:19:42.571134459Z,2026-05-28T11:19:36.714368004Z,4574,count,latency,shm_write,l2,market_state,delta
,,85,2026-05-28T11:04:42.571134459Z,2026-05-28T11:19:42.571134459Z,2026-05-28T11:19:36.714368004Z,176,p50,latency,shm_write,l2,market_state,delta
,,86,2026-05-28T11:04:42.571134459Z,2026-05-28T11:19:42.571134459Z,2026-05-28T11:19:36.714368004Z,304,p90,latency,shm_write,l2,market_state,delta
,,87,2026-05-28T11:04:42.571134459Z,2026-05-28T11:19:42.571134459Z,2026-05-28T11:19:36.714368004Z,416,p99,latency,shm_write,l2,market_state,delta
,,88,2026-05-28T11:04:42.571134459Z,2026-05-28T11:19:42.571134459Z,2026-05-28T11:19:36.714368004Z,669,count,latency,shm_write,mark,market_state,delta
,,89,2026-05-28T11:04:42.571134459Z,2026-05-28T11:19:42.571134459Z,2026-05-28T11:19:36.714368004Z,42,p50,latency,shm_write,mark,market_state,delta
,,90,2026-05-28T11:04:42.571134459Z,2026-05-28T11:19:42.571134459Z,2026-05-28T11:19:36.714368004Z,44,p90,latency,shm_write,mark,market_state,delta
,,91,2026-05-28T11:04:42.571134459Z,2026-05-28T11:19:42.571134459Z,2026-05-28T11:19:36.714368004Z,152,p99,latency,shm_write,mark,market_state,delta
,,92,2026-05-28T11:04:42.571134459Z,2026-05-28T11:19:42.571134459Z,2026-05-28T11:19:36.714368004Z,4046,count,latency,shm_write,spot,market_state,delta
,,93,2026-05-28T11:04:42.571134459Z,2026-05-28T11:19:42.571134459Z,2026-05-28T11:19:36.714368004Z,44,p50,latency,shm_write,spot,market_state,delta
,,94,2026-05-28T11:04:42.571134459Z,2026-05-28T11:19:42.571134459Z,2026-05-28T11:19:36.714368004Z,44,p90,latency,shm_write,spot,market_state,delta
,,95,2026-05-28T11:04:42.571134459Z,2026-05-28T11:19:42.571134459Z,2026-05-28T11:19:36.714368004Z,46,p99,latency,shm_write,spot,market_state,delta
,,96,2026-05-28T11:04:42.571134459Z,2026-05-28T11:19:42.571134459Z,2026-05-28T11:19:36.714368004Z,2826,count,latency,shm_write,trade,market_state,delta
,,97,2026-05-28T11:04:42.571134459Z,2026-05-28T11:19:42.571134459Z,2026-05-28T11:19:36.714368004Z,32,p50,latency,shm_write,trade,market_state,delta
,,98,2026-05-28T11:04:42.571134459Z,2026-05-28T11:19:42.571134459Z,2026-05-28T11:19:36.714368004Z,36,p90,latency,shm_write,trade,market_state,delta
,,99,2026-05-28T11:04:42.571134459Z,2026-05-28T11:19:42.571134459Z,2026-05-28T11:19:36.714368004Z,40,p99,latency,shm_write,trade,market_state,delta

#group,false,false,true,true,false,false,true,true,true,true
#datatype,string,long,dateTime:RFC3339,dateTime:RFC3339,dateTime:RFC3339,double,string,string,string,string
#default,_result,,,,,,,,,
,result,table,_start,_stop,_time,_value,_field,_measurement,event,venue
,,100,2026-05-28T11:04:42.571134459Z,2026-05-28T11:19:42.571134459Z,2026-05-28T11:19:36.669343963Z,208,count,latency,tick_to_trade,delta
,,101,2026-05-28T11:04:42.571134459Z,2026-05-28T11:19:42.571134459Z,2026-05-28T11:19:36.669343963Z,6144,p50,latency,tick_to_trade,delta
,,102,2026-05-28T11:04:42.571134459Z,2026-05-28T11:19:42.571134459Z,2026-05-28T11:19:36.669343963Z,8192,p90,latency,tick_to_trade,delta
,,103,2026-05-28T11:04:42.571134459Z,2026-05-28T11:19:42.571134459Z,2026-05-28T11:19:36.669343963Z,10240,p99,latency,tick_to_trade,delta
,,104,2026-05-28T11:04:42.571134459Z,2026-05-28T11:19:42.571134459Z,2026-05-28T11:19:36.669343963Z,208,count,latency,wire_out,delta
,,105,2026-05-28T11:04:42.571134459Z,2026-05-28T11:19:42.571134459Z,2026-05-28T11:19:36.669343963Z,32,p50,latency,wire_out,delta
,,106,2026-05-28T11:04:42.571134459Z,2026-05-28T11:19:42.571134459Z,2026-05-28T11:19:36.669343963Z,48,p90,latency,wire_out,delta
,,107,2026-05-28T11:04:42.571134459Z,2026-05-28T11:19:42.571134459Z,2026-05-28T11:19:36.669343963Z,64,p99,latency,wire_out,delta
,,108,2026-05-28T11:04:42.571134459Z,2026-05-28T11:19:42.571134459Z,2026-05-28T11:19:36.714368004Z,12519,count,latency,ws_frame,delta
,,109,2026-05-28T11:04:42.571134459Z,2026-05-28T11:19:42.571134459Z,2026-05-28T11:19:36.714368004Z,1344,p50,latency,ws_frame,delta
,,110,2026-05-28T11:04:42.571134459Z,2026-05-28T11:19:42.571134459Z,2026-05-28T11:19:36.714368004Z,3968,p90,latency,ws_frame,delta
,,111,2026-05-28T11:04:42.571134459Z,2026-05-28T11:19:42.571134459Z,2026-05-28T11:19:36.714368004Z,5632,p99,latency,ws_frame,delta
,,112,2026-05-28T11:04:42.571134459Z,2026-05-28T11:19:42.571134459Z,2026-05-28T11:19:36.714368004Z,25044,count,latency,ws_read,delta
,,113,2026-05-28T11:04:42.571134459Z,2026-05-28T11:19:42.571134459Z,2026-05-28T11:19:36.714368004Z,2688,p50,latency,ws_read,delta
,,114,2026-05-28T11:04:42.571134459Z,2026-05-28T11:19:42.571134459Z,2026-05-28T11:19:36.714368004Z,5632,p90,latency,ws_read,delta
,,115,2026-05-28T11:04:42.571134459Z,2026-05-28T11:19:42.571134459Z,2026-05-28T11:19:36.714368004Z,8704,p99,latency,ws_read,delta

